,text,context,url,search_queries,relevant_sentences,contradiction,neutrality,entailment,relevance
10,"In order to get the most health benefits from eating fish, pay attention to how it's cooked.","Kids should eat fish from choices lower in mercury once or twice a week. The serving size for children younger than age 2 is 1 ounce and increases with age. In order to get the most health benefits from eating fish, pay attention to how it's cooked. For example, grilling, broiling or baking fish is a healthier option than is deep-frying. If you eat a lot of fish containing mercury, the toxin can build up in the body.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/omega-3/art-20045614,{'diet AND fish'},"[0, 1, 11, 16]","[0.08210933, 0.0016417981, 0.014886394, 0.0019201739]","[0.8840361, 0.9087288, 0.8072583, 0.9437458]","[0.033854615, 0.08962935, 0.17785524, 0.054333992]",0.6917498111724854
11,"However, more than as an energy source, the dietary contribution of fish is significant in terms of high-quality, easily digested animal proteins and especially in fighting micronutrient deficiencies.",") ordered a special sitting of the Senate to deliberate and advise on a matter of such grave State importance as the best method of cooking a turbot"". [5] Globally, fish and fish products provide an average of only about 34 calories per capita per day. However, more than as an energy source, the dietary contribution of fish is significant in terms of high-quality, easily digested animal proteins and especially in fighting micronutrient deficiencies. [2] A portion of 150g of fish provides about 50 to 60 percent of an adult's daily protein requirement. Fish proteins are essential in the diet of some densely populated countries where the total protein intake is low, and are particularly important in diets in small island developing States (SIDS).",https://en.wikipedia.org/wiki/Fish_as_food,{'fish AND food'},"[1, 11, 16]","[0.0014541433, 0.0052639027, 0.0018616111]","[0.9653498, 0.72017705, 0.9806209]","[0.033196047, 0.274559, 0.017517395]",0.6915690898895264
12,Healthy eating patterns that include fish may have other benefits too.,"A healthy eating pattern consists of choices across all food groups (vegetables, fruits, grains, dairy, and protein foods, which includes fish), eaten in recommended amounts, and within calorie needs. Healthy eating patterns include foods that provide vitamins, minerals, and other health-promoting components and have no or little added sugars, saturated fat, and sodium. Healthy eating patterns that include fish may have other benefits too. Moderate scientific evidence shows that eating patterns relatively higher in fish but also in other foods, including vegetables, fruits, legumes, whole grains, low- or non-fat dairy, lean meats and poultry, nuts, and unsaturated vegetable oils, and lower in red and processed meats, sugar-sweetened foods and beverages, and refined grains are associated with:  The Dietary Guidelines for Americans recommends:  While it is important to limit mercury in the diets of those who are pregnant or breastfeeding and children, many types of fish are both nutritious and lower in mercury. This chart can help you choose which fish to eat, and how often to eat them, based on their mercury levels.",https://www.fda.gov/food/consumers/advice-about-eating-fish,"{'diet AND healthiest AND dietary AND guideline AND fish AND information', 'diet AND fish AND food', 'diet AND fish', 'diet AND fish AND species AND shrimp'}","[1, 11, 16]","[0.0010605005, 0.0013236816, 0.0015432925]","[0.98206156, 0.9837795, 0.9830378]","[0.016877873, 0.014896859, 0.015418908]",0.6909968852996826
13,Healthy eating patterns that include fish may have other benefits too.,"Fish intake during pregnancy is recommended because moderate scientific evidence shows it can help your baby’s cognitive development. Strong evidence shows that eating fish, as part of a healthy eating pattern, may have heart health benefits. Healthy eating patterns that include fish may have other benefits too. Moderate scientific evidence shows that eating patterns relatively higher in fish but also in vegetables, fruits, legumes, whole grains, low- or non-fat dairy, lean meats and poultry, nuts, and unsaturated vegetable oils, and lower in red and processed meats, sugar-sweetened foods and beverages, and refined grains are associated with: As a guide, use the palm of your hand. This chart can help you choose which fish to eat, and how often to eat them, based on their mercury levels.",https://www.epa.gov/fish-tech/epa-fda-advice-about-eating-fish-and-shellfish,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[1, 11, 16]","[0.0010605005, 0.0013236816, 0.0015432925]","[0.98206156, 0.9837795, 0.9830378]","[0.016877873, 0.014896859, 0.015418908]",0.6909968852996826
14,"Fish is not only an important source of nutrition, the act of catching, preparing, and eating fish are important cultural and family practices as well.","Some good choices are salmon, trout, sardines, herring, canned mackerel, canned light tuna, and oysters. Fish is an important cultural icon in Washington State that defines a recreational as well as a spiritual way of life in the Pacific Northwest. Fish is not only an important source of nutrition, the act of catching, preparing, and eating fish are important cultural and family practices as well. To Native American Indian Tribes of Washington, fish, especially salmon, are an integral part of their lives, and serve as a symbol of their prosperity, culture, and heritage. Facebook LinkedIn Medium Instagram Twitter YouTube Get email alerts based on your topic preferences like news releases, job openings, emergency updates and more!",https://doh.wa.gov/community-and-environment/food/fish/health-benefits,"{'diet AND fish AND food', 'diet AND fish'}","[0, 1, 11, 16]","[0.0010988294, 0.0011781929, 0.0035918911, 0.0010414462]","[0.99771345, 0.9636967, 0.8611842, 0.9832781]","[0.0011876625, 0.03512507, 0.13522393, 0.015680427]",0.6900865435600281
15,"Most types of commonly sold fish are healthy to eat a few times a week, however.","“Fish is a high-quality, lean protein to add to your eating routine for healthy muscles, bones, tissue and skin,” she says. That said, some folks nix fish because of concerns about sustainability, or a fear of consuming mercury, a neurotoxin that are especially bad for pregnant women and young children, which can be an issue in larger fish. Most types of commonly sold fish are healthy to eat a few times a week, however. ""It’s always best to look for sustainable seafood certifications, including MSC, ASC or Fair Trade USA to ensure a safe, healthy and accountable seafood supply,” says Agyeman. You can also check out Seafood Watch for seafood recs based on sustainability standards, Derocha adds.",https://www.goodhousekeeping.com/health/diet-nutrition/a37678623/healthiest-fish-to-eat/,{'diet AND healthiest AND fish'},"[0, 1, 11, 16, 17]","[0.0011857623, 0.0025718182, 0.0026192442, 0.0015876078, 0.002400489]","[0.9977125, 0.9437738, 0.9431695, 0.9671475, 0.89010334]","[0.001101682, 0.053654354, 0.05421121, 0.03126497, 0.10749617]",0.6864975690841675
16,"While all fish provide excellent high-quality protein for your diet, some fish provide higher amounts of omega-3 fatty acids.","There are many varieties of fish. While all fish provide excellent high-quality protein for your diet, some fish provide higher amounts of omega-3 fatty acids. Our bodies do not produce omega-3 fatty acids, so we have to get them from our diet. Why is fish a superfood?",https://www.kidney.org/atoz/content/fish,{'diet AND fish'},"[0, 1, 11, 16]","[0.00082203245, 0.0062478078, 0.003535209, 0.0013686697]","[0.99719304, 0.9293693, 0.9210495, 0.9805464]","[0.0019849772, 0.06438281, 0.07541544, 0.01808495]",0.6860042810440063
17,Check for fish and shellfish advisories to tell you how often you can safely eat those fish.,"Childhood: On average, a serving is about:  1 ounce at age 1 to 3  2 ounces at age 4 to 7  3 ounces at age 8 to 10  4 ounces at age 11 Eat 2 servings a week from the “Best Choices” list. Enlarge in PDF | View Text Version | En español What about fish caught by family or friends? Check for fish and shellfish advisories to tell you how often you can safely eat those fish. If there is no advisory, eat only one serving and no other fish that week. Some fish caught by family and friends, such as larger carp, catfish, trout and perch, are more likely to have fish advisories due to mercury or other contaminants.",https://www.fda.gov/food/consumers/advice-about-eating-fish,"{'diet AND healthiest AND dietary AND guideline AND fish AND information', 'diet AND fish AND food', 'diet AND fish', 'diet AND fish AND species AND shrimp'}","[1, 22]","[0.00095280254, 0.011073841]","[0.9816487, 0.9844052]","[0.01739851, 0.004520878]",0.6833807826042175
18,These guidelines tell people which fish they can eat safely and encourage eating fish and shellfish as part of a healthy diet.,"All 50 states and some U.S. territories and tribes issue advisories to protect people from potential health risks of eating contaminated fish caught in local waters. EPA encourages states, territories and tribes to also issue safe eating guidelines. These guidelines tell people which fish they can eat safely and encourage eating fish and shellfish as part of a healthy diet. A consumption advisory is a recommendation to limit or avoid eating certain species of fish or shellfish caught from specific water bodies or types of water bodies (e.g., lakes, rivers or coastal waters) due to contamination. An advisory for a specific waterbody or type of waterbody may address more than one affected fish or shellfish species or contaminant.",https://www.epa.gov/choose-fish-and-shellfish-wisely/fish-and-shellfish-advisories-and-safe-eating-guidelines,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16]","[0.0006875519, 0.001274995, 0.0021131095, 0.00061260985]","[0.99753606, 0.9743639, 0.97441757, 0.9864066]","[0.0017763348, 0.024361094, 0.023469357, 0.012980731]",0.6831213235855103
19,"But is that the wisest choice, given the benefits of eating fish?","It’s a controversial topic that is often fueled more by emotion than by fact. Here’s what’s known about the benefits and risks of eating fish and other seafood: Avoiding fish is certainly one way to avoid mercury or PCBs. But is that the wisest choice, given the benefits of eating fish? Drs. Mozaffarian and Rimm put this in perspective in their analysis in the Journal of the American Medical Association.",https://www.hsph.harvard.edu/nutritionsource/fish/,"{'diet AND healthiest AND fish', 'diet AND fish'}","[0, 1, 11, 16]","[0.0008734924, 0.0015815026, 0.0049541923, 0.007120019]","[0.9976544, 0.9875979, 0.89771146, 0.9811188]","[0.0014721521, 0.010820625, 0.09733443, 0.011761221]",0.6824045181274414
20,"SUMMARY Fish is high in many important nutrients, including high-quality protein, iodine, and various vitamins and minerals.","To meet your omega-3 requirements, eating fatty fish at least once or twice a week is recommended. If you are a vegan, opt for omega-3 supplements made from microalgae. SUMMARY Fish is high in many important nutrients, including high-quality protein, iodine, and various vitamins and minerals. Fatty varieties also pack omega-3 fatty acids and vitamin D. Heart attacks and strokes are the two most common causes of premature death in the world (2). Fish is considered one of the most heart-healthy foods you can eat.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[0, 1, 11, 16]","[0.0011592335, 0.0015121413, 0.0046066283, 0.00072476786]","[0.9977824, 0.9923143, 0.94254446, 0.9969946]","[0.0010583188, 0.0061735916, 0.052848876, 0.002280594]",0.679315447807312
21,Always talk to your kidney dietitian to find out how you can include fish in your diet.,Choose fresh fish when possible because it is lower in sodium. Canned fish can be high in sodium. Always talk to your kidney dietitian to find out how you can include fish in your diet. Eating fish will not have an effect on forming kidney stones. Larger fish like tuna and sharks may have high mercury concentrations.,https://www.kidney.org/atoz/content/fish,{'diet AND fish'},"[1, 16, 22]","[0.001066851, 0.00078293117, 0.0017642705]","[0.9871409, 0.992359, 0.94691306]","[0.011792185, 0.006858138, 0.051322713]",0.678770899772644
22,"For many years, the American Heart Association has recommended that people eat fish rich in unsaturated fats at least twice a week.","Find out why the heart-healthy benefits of eating fish usually outweigh any risks. If you're worried about your heart health, eating at least two servings of fish a week could reduce the risk of heart disease. For many years, the American Heart Association has recommended that people eat fish rich in unsaturated fats at least twice a week. The unsaturated fats in fish are called omega-3 fatty acids. Omega-3 fatty acids and other nutrients in fish may benefit heart health and reduce the risk of dying of heart disease.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/omega-3/art-20045614,{'diet AND fish'},"[1, 16, 17]","[0.0021645504, 0.00061279704, 0.017881082]","[0.98830557, 0.9961611, 0.9682684]","[0.00952995, 0.0032260923, 0.0138505185]",0.6772572994232178
23,"Research shows that regularly consuming fish may help reduce the risk of heart attacks, high blood pressure, atherosclerosis, and stroke.","Fish, especially fatty fish like salmon, herring, and trout, are concentrated in omega-3 fatty acids. Omega-3s are fats that are essential to health and are involved in critical processes including regulating inflammation in the body. Research shows that regularly consuming fish may help reduce the risk of heart attacks, high blood pressure, atherosclerosis, and stroke. Apart from fish, the pescatarian diet consists mainly of plant foods. According to one 2017 analysis, people who consume a diet high in vegetables and other plant foods have a reduced risk of coronary heart disease.",https://www.medicalnewstoday.com/articles/323907,{'diet AND fish AND food'},"[1, 11, 16]","[0.0013875485, 0.0034270748, 0.0009781467]","[0.9896339, 0.94806856, 0.9960555]","[0.008978487, 0.04850441, 0.0029663348]",0.676723837852478
24,SUMMARY Eating at least one serving of fish per week has been linked to a reduced risk of heart attacks and strokes.,"In one study in more than 40,000 men in the United States, those who regularly ate one or more servings of fish per week had a 15% lower risk of heart disease (7). Researchers believe that fatty types of fish are even more beneficial for heart health due to their high omega-3 fatty acid content. SUMMARY Eating at least one serving of fish per week has been linked to a reduced risk of heart attacks and strokes. Omega-3 fatty acids are essential for growth and development. The omega-3 fat docosahexaenoic acid (DHA) is especially important for brain and eye development (8).",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[11, 16, 17]","[0.0045866487, 0.0008254431, 0.0084351245]","[0.9335469, 0.99435025, 0.98875904]","[0.061866503, 0.004824233, 0.002805933]",0.6744894981384277
25,"Never mind that health orgs such as the American Heart Association recommend that we eat fish twice to three times a week, adds Agyeman.","And it's worth experimenting, because fish “is packed with vitamins and nutrients that can lower blood pressure and help reduce the risk of a heart attack or stroke,” says Grace Derocha, RD, CDCES, MBA, a national spokesperson for The Academy of Nutrition and Dietetics. These include omega-3 fatty acids, vitamins D and riboflavin, calcium, iron, zinc, magnesium and potassium. Never mind that health orgs such as the American Heart Association recommend that we eat fish twice to three times a week, adds Agyeman. “Fish is a high-quality, lean protein to add to your eating routine for healthy muscles, bones, tissue and skin,” she says. That said, some folks nix fish because of concerns about sustainability, or a fear of consuming mercury, a neurotoxin that are especially bad for pregnant women and young children, which can be an issue in larger fish.",https://www.goodhousekeeping.com/health/diet-nutrition/a37678623/healthiest-fish-to-eat/,{'diet AND healthiest AND fish'},"[1, 16, 17]","[0.0033505824, 0.0011227309, 0.011631714]","[0.9858435, 0.9944688, 0.63538843]","[0.0108059775, 0.0044084024, 0.3529798]",0.6742739677429199
26,"The American Heart Association (AHA) recommends eating fish at least 2 times a week, particularly fatty fish like salmon, lake trout, sardines, and albacore tuna, which are high in omega-3s.","Omega-3s have been shown to decrease inflammation and reduce the risk of heart disease. They’re important for prenatal development in babies, too. The American Heart Association (AHA) recommends eating fish at least 2 times a week, particularly fatty fish like salmon, lake trout, sardines, and albacore tuna, which are high in omega-3s. Yet, there are some risks associated with eating fish on a regular basis. Contaminants such as mercury and polychlorinated biphenyls (PCBs) find their way into ground, lake, and ocean water from our household and industrial waste, and then into the fish who live there.",https://www.healthline.com/health/food-nutrition/11-best-fish-to-eat,{'diet AND healthiest AND fish'},"[1, 16, 17]","[0.002070786, 0.00082614244, 0.007903392]","[0.8985152, 0.9887362, 0.762398]","[0.09941399, 0.010437644, 0.22969867]",0.6736523509025574
27,Eating fish can provide other health benefits too.,"Fish also provide iron and zinc to support children’s immune systems. Fish are also a source of other nutrients like protein, vitamin B12, vitamin D, and selenium. Eating fish can provide other health benefits too. Fish intake during pregnancy is recommended because moderate scientific evidence shows it can help your baby’s cognitive development. Strong evidence shows that eating fish, as part of a healthy eating pattern, may have heart health benefits.",https://www.epa.gov/fish-tech/epa-fda-advice-about-eating-fish-and-shellfish,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16]","[0.001007517, 0.00079131214, 0.0016865181, 0.0012373492]","[0.9977749, 0.99359185, 0.98408693, 0.99551374]","[0.0012175492, 0.005616755, 0.014226545, 0.003248989]",0.6713035106658936
28,"Current Version Jun 11, 2019 Written By Joe Leech, MS Edited By Frank Crooks Share this article Fish is a very healthy food, but some cooking methods make it healthier than others.","What’s more, fish is easy to prepare, so you can add it to your diet today. Our experts continually monitor the health and wellness space, and we update our articles when new information becomes available. Current Version Jun 11, 2019 Written By Joe Leech, MS Edited By Frank Crooks Share this article Fish is a very healthy food, but some cooking methods make it healthier than others. This article reviews the best cooking methods for fish. Tilapia is a popular but controversial fish.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[0, 1, 11, 16]","[0.0026853355, 0.001230992, 0.0075798454, 0.00085944217]","[0.99585766, 0.97126895, 0.92191267, 0.99010056]","[0.001457017, 0.02750008, 0.07050748, 0.00903993]",0.669929027557373
29,Fish are generally low in unhealthy saturated fats and high in protein.,"Eating your catch can be part of a healthy, balanced diet. Fish are generally low in unhealthy saturated fats and high in protein. Fish contain vitamins and minerals and are the primary food source for healthy omega-3 fats. Studies suggest that omega-3 fats may be beneficial during the fetal brain and eye development, and eating modest amounts of fish containing these healthy fats may lower the risk of heart disease in adults.",https://dnr.wisconsin.gov/topic/Fishing/consumption,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16]","[0.0012452541, 0.0043080277, 0.0023340972, 0.0014382609]","[0.99763227, 0.98130935, 0.96785516, 0.98993486]","[0.0011224647, 0.014382581, 0.029810678, 0.008626817]",0.6692421436309814
30,"According to Seafood Watch, here are six fish that are healthy for you and the planet.","Many other options are on the program’s list of “Best Choices”. The Blue Ocean Institute also has sustainability ratings and detailed information. According to Seafood Watch, here are six fish that are healthy for you and the planet. 1. Albacore Tuna (troll- or pole-caught, from the US or British Columbia)  Many tuna are high in mercury but albacore tuna–the kind of white tuna that’s commonly canned–gets a Super Green rating as long as (and this is the clincher) it is “troll- or pole-caught” in the US or British Columbia.",https://www.onemedical.com/blog/eat-well/healthy-fish-eating-guide/,{'diet AND healthiest AND fish'},"[0, 1, 11, 16, 17]","[0.001163096, 0.0019714793, 0.002682854, 0.0025143067, 0.0007052057]","[0.9975204, 0.9551284, 0.9229258, 0.97161406, 0.99745494]","[0.0013165328, 0.042900123, 0.07439131, 0.025871558, 0.00183984]",0.667404294013977
31,"What’s more, fish is easy to prepare, so you can add it to your diet today.","Fatty species also pack heart-healthy omega-3 fatty acids. What’s more, it has numerous benefits, including vision protection and improved mental health in old age. What’s more, fish is easy to prepare, so you can add it to your diet today. Our experts continually monitor the health and wellness space, and we update our articles when new information becomes available. Current Version Jun 11, 2019 Written By Joe Leech, MS Edited By Frank Crooks Share this article Fish is a very healthy food, but some cooking methods make it healthier than others.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[1, 11, 16, 17]","[0.001852152, 0.0036200646, 0.002313157, 0.00077962637]","[0.9814461, 0.9044718, 0.9839496, 0.99763346]","[0.016701687, 0.091908105, 0.013737187, 0.0015869378]",0.6667709350585938
32,Fish contain vitamins and minerals and are the primary food source for healthy omega-3 fats.,"Eating your catch can be part of a healthy, balanced diet. Fish are generally low in unhealthy saturated fats and high in protein. Fish contain vitamins and minerals and are the primary food source for healthy omega-3 fats. Studies suggest that omega-3 fats may be beneficial during the fetal brain and eye development, and eating modest amounts of fish containing these healthy fats may lower the risk of heart disease in adults. Health experts recommend that fish be included as part of a healthy diet.",https://dnr.wisconsin.gov/topic/Fishing/consumption,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16]","[0.0010216174, 0.0014292364, 0.0027538606, 0.0008620562]","[0.9978119, 0.98740876, 0.916463, 0.9930287]","[0.0011663944, 0.011162034, 0.080783024, 0.00610924]",0.6657670736312866
33,Find out why the heart-healthy benefits of eating fish usually outweigh any risks.,"Mayo Clinic offers appointments in Arizona, Florida and Minnesota and at Mayo Clinic Health System locations. The omega-3 fatty acids in fish are good for the heart. Find out why the heart-healthy benefits of eating fish usually outweigh any risks. If you're worried about your heart health, eating at least two servings of fish a week could reduce the risk of heart disease. For many years, the American Heart Association has recommended that people eat fish rich in unsaturated fats at least twice a week.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/omega-3/art-20045614,{'diet AND fish'},"[0, 1, 11, 16]","[0.0011587517, 0.001735285, 0.006312691, 0.0035103045]","[0.9977582, 0.97797316, 0.9576243, 0.98288697]","[0.0010830531, 0.020291578, 0.036063027, 0.013602708]",0.6628550291061401
34,"The amount of food a bony fish eats is directly related to its size, its metabolic rate, and the temperature of its environment.","As a group, bony fishes can eat all sizes of plants and animals, from microscopic plant plankton to some of the largest marine animals. Some of the animals common in the diets of bony fishes include: annelid worms, marine snails, mussels, clams, squids, crustaceans, insects, birds, amphibians, small mammals, and other fishes. The amount of food a bony fish eats is directly related to its size, its metabolic rate, and the temperature of its environment. Some bony fishes can go long periods without eating. Some freshwater eels (Anguilla spp.",https://seaworld.org/animals/all-about/bony-fish/diet/,{'diet AND fish AND food'},"[1, 7, 11, 16]","[0.0012645564, 0.006434867, 0.006334919, 0.0016622138]","[0.94097084, 0.641974, 0.9436784, 0.5933177]","[0.05776466, 0.3515911, 0.049986683, 0.40502006]",0.6622395515441895
